Employee_ID,HR_Job_Type,HR_Location,Hire_Date,Termination_Date
9001388,Correctional,Alpha,2011-01-12,NA
9001389,Correctional Supervisor,Delta,2011-01-12,NA
9001390,Correctional Supervisor,Delta,2011-01-12,NA
9001391,Correctional,Epsilon,2011-01-12,NA
9001393,Correctional,Epsilon,2011-01-12,NA
9001394,Correctional,Epsilon,2011-01-12,NA
9001395,Correctional,Delta,2011-01-12,NA
9001398,Correctional,Delta,2011-01-12,NA
9001401,Correctional,Alpha,2011-01-12,NA
9001414,Correctional Supervisor,Epsilon,2011-01-12,NA
9001415,Correctional Supervisor,Epsilon,2015-04-01,NA
9001417,Correctional,Delta,2011-01-12,NA
9001421,Correctional,Epsilon,2011-01-12,NA
9001422,Correctional,Epsilon,2011-01-12,NA
9001425,Correctional,Delta,2011-01-12,NA
9001433,Correctional Supervisor,Epsilon,2011-01-12,NA
9001436,Correctional Supervisor,Delta,2011-01-12,NA
9001446,Correctional Supervisor,Epsilon,2017-11-15,NA
9001456,Correctional,Delta,2015-03-01,NA
9001463,Correctional,Epsilon,2014-02-01,NA
9001464,Correctional,Epsilon,2011-01-12,NA
9001465,Correctional,Delta,2011-01-12,NA
9001467,Correctional,Gamma,2011-01-12,NA
9001468,Correctional,Delta,2011-01-12,NA
9001470,Correctional,Beta,2017-09-01,NA
9001480,Correctional,Epsilon,2014-12-01,NA
9001481,Correctional,Delta,2011-01-12,NA
9001483,Correctional,Delta,2014-05-15,NA
9001485,Correctional,Epsilon,2011-01-12,NA
9001486,Correctional,Delta,2011-01-12,NA
9001487,Correctional,Delta,2011-01-12,NA
9001489,Correctional,Delta,2011-01-12,NA
9001495,Correctional,Beta,2012-12-17,NA
9001496,Correctional,Gamma,2014-10-15,NA
9001497,Correctional,Epsilon,2011-01-12,NA
9001501,Correctional,Beta,2011-01-12,NA
9001509,Correctional,Gamma,2016-02-01,NA
9001516,Correctional,Epsilon,2015-05-15,NA
9001517,Correctional,Gamma,2011-01-12,NA
9001522,Correctional,Delta,2011-01-12,NA
9001533,Correctional,Delta,2011-01-12,NA
9001535,Correctional,Epsilon,2011-01-12,NA
9001536,Correctional,Beta,2011-01-12,NA
9001537,Correctional,Delta,2011-01-12,NA
9001539,Correctional,Epsilon,2015-11-01,NA
9001540,Correctional,Delta,2011-01-12,NA
9001542,Correctional,Delta,2011-01-12,NA
9001544,Correctional,Epsilon,2016-04-15,NA
9001547,Correctional,Epsilon,2011-01-12,NA
9001552,Correctional,Beta,2011-01-12,NA
9001560,Correctional,Delta,2011-01-12,NA
9001562,Correctional,Epsilon,2016-03-01,NA
9001567,Correctional,Delta,2011-01-12,NA
9001574,Correctional,Epsilon,2012-03-15,NA
9001575,Correctional Supervisor,Delta,2011-01-12,NA
9001576,Correctional,Alpha,2015-12-01,NA
9001577,Correctional,Epsilon,2011-01-12,NA
9001582,Correctional Supervisor,Alpha,2011-01-12,NA
9001585,Correctional,Epsilon,2011-01-12,NA
9001592,Correctional,Delta,2011-01-12,NA
9001593,Correctional,Beta,2011-01-12,NA
9001594,Correctional,Gamma,2011-01-12,NA
9001601,Correctional,Beta,2011-01-12,NA
9001602,Correctional Supervisor,Beta,2016-11-01,NA
9001603,Correctional Supervisor,Epsilon,2011-01-12,NA
9001605,Correctional,Epsilon,2011-01-12,NA
9001607,Correctional,Epsilon,2011-01-12,NA
9001610,Correctional,Epsilon,2011-01-12,NA
9001612,Correctional,Epsilon,2011-01-12,NA
9001618,Correctional,Alpha,2011-01-12,NA
