Employee_ID,Shift_ID,Shift_Start,Shift_End
9001005,E050603,2019-04-01T06:00:00Z,2019-04-01T14:00:00Z
9001005,E051303,2019-04-02T06:00:00Z,2019-04-02T14:00:00Z
