Employee_ID,HR_Location,Hours_Footage_Total,Hours_Footage_No_Shift,Hours_Shift_Total,Hours_Shift_No_Footage,Missing_Shift_Data,Missing_Camera_Data,Zero_Footage_Shifts,Average_Percent_of_Other_Shifts_Recorded,Clips,Days_With_Footage,Footage_Hours,Gaps,Average_Clips_per_Day,Average_Footage_Hours_per_Day,Average_Clip_Length,Average_Gaps_per_Day
9001005,Epsilon,112.52333333333333,3,120,32,FALSE,FALSE,0,0.834462962962963,59,16,112.52333333333333,0,3.6875,7.032708333333333,1.907175141242938,0
9001007,Gamma,93.83277777777778,22,120,19,FALSE,FALSE,2,0.802230235042735,91,16,93.83277777777778,73,5.6875,5.864548611111111,1.0311294261294262,4.5625
9001014,Epsilon,11.872222222222222,98,120,16,FALSE,FALSE,7,0.1577777777777778,29,11,11.872222222222222,8,2.636363636363636,1.0792929292929292,0.4093869731800766,0.7272727272727273
9001018,Delta,80.16916666666667,72,156,10,FALSE,FALSE,7,0.8569508744855967,35,9,80.16916666666667,0,3.888888888888889,8.907685185185185,2.290547619047619,0
9001019,Gamma,27.59611111111111,107,120,25,FALSE,FALSE,13,0.6759722222222222,27,4,27.59611111111111,3,6.75,6.8990277777777775,1.0220781893004116,0.75
9001031,Alpha,0,120,120,0,FALSE,TRUE,15,NA,NA,NA,NA,NA,NA,NA,NA,NA
9001038,Epsilon,102.06527777777778,8,120,9,FALSE,FALSE,1,0.896140873015873,63,14,102.06555555555556,13,4.5,7.290396825396826,1.6200881834215168,0.9285714285714286
9001039,Beta,0.04861111111111111,134,134.99583333333334,0,FALSE,FALSE,14,0.005401401277817216,1,1,0.04861111111111111,0,1,0.04861111111111111,0.04861111111111111,0
9001042,Epsilon,25.858055555555556,124,144,17,FALSE,FALSE,10,0.6911921296296296,26,3,25.858055555555556,1,8.666666666666666,8.619351851851851,0.9945405982905984,0.3333333333333333
9001044,Epsilon,75.01333333333334,31,119.99583333333334,17,FALSE,FALSE,2,0.6778226808088956,50,13,75.01333333333334,12,3.8461538461538463,5.77025641025641,1.5002666666666666,0.9230769230769232
9001046,Epsilon,45.350833333333334,64,120,7,FALSE,FALSE,8,0.7661755952380952,57,8,45.350833333333334,7,7.125,5.668854166666667,0.7956286549707603,0.875
9001052,Epsilon,123.9661111111111,0,120,29,FALSE,FALSE,0,0.9663472222222222,104,15,123.96611111111112,13,6.933333333333334,8.264407407407408,1.1919818376068376,0.8666666666666667
9001057,Epsilon,78.88333333333334,27,131.99972222222223,25,FALSE,FALSE,1,0.5972847222222222,96,15,78.88333333333334,13,6.4,5.258888888888889,0.8217013888888889,0.8666666666666667
9001061,Beta,98.75722222222223,53,79.99805555555555,97,FALSE,FALSE,4,0.4494577999027101,60,15,98.75722222222224,14,4,6.583814814814815,1.6459537037037038,0.9333333333333332
9001070,Beta,127.2936111111111,19,120,41,FALSE,FALSE,2,0.9504086538461538,43,13,127.29361111111112,0,3.3076923076923075,9.79181623931624,2.9603165374677003,0
